27.00,37.95,52.31,0,4,2.71,-0.43,-0.86,-0.04,1.20,1.64,0.86,1.93,0.97,1.80,1.58,-1.31,-0.69,1.09,1.71,-1.63,-1.15,-0.82,-0.91,1.79,-0.41,-1.40,0.00,0.00,0.27,0.66,-0.00,0.09,0.98,-0.50,0.02,-0.00,-0.32,0.00,25.88,39.00,0,11,4.19,-1.33,-1.33,-1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,-2.20,-0.70,0.70,0.70,-0.70,-0.70,-0.70,-0.70,0.70,-0.70,-0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
17.50,39.11,37.18,8,8,3.43,-1.39,-0.53,0.09,1.68,1.12,2.15,1.08,1.24,2.03,1.08,-0.00,-0.00,-0.00,0.00,0.00,-0.00,-2.39,-0.28,-0.00,0.00,-0.51,0.00,0.00,0.01,-0.00,0.00,0.06,-0.00,0.31,0.00,0.00,0.00,8.00,36.24,37.65,8,8,5.18,-2.55,-1.64,-0.43,1.64,1.64,1.64,1.64,1.64,2.01,1.64,0.00,0.00,0.00,0.00,0.00,0.00,-2.03,-0.45,0.00,0.00,-1.20,0.00,0.00,0.08,0.00,0.00,0.15,0.00,0.75,0.00,0.00,0.00
33.50,46.38,33.99,0,0,3.76,-3.10,-1.70,-1.19,1.27,0.34,1.19,1.19,1.57,2.54,3.03,-0.94,-0.12,1.99,0.30,0.30,-1.29,-0.91,-0.30,-3.10,-0.40,-1.48,-0.04,0.39,-1.53,-0.71,-0.11,-0.01,1.18,0.71,-0.01,-0.51,0.01,6.50,40.99,36.52,0,0,5.40,-2.89,-2.10,-1.71,1.71,1.04,1.71,1.08,1.71,1.71,1.71,-2.63,-0.34,1.55,0.83,0.83,-0.83,-0.83,-0.83,-1.95,-0.83,-0.83,-1.19,0.78,-0.37,-0.37,-0.37,-0.21,0.89,0.59,-0.37,-0.37,0.37
15.00,47.62,34.27,6,9,1.28,-0.41,-0.40,0.41,1.56,2.53,1.35,0.41,1.76,0.92,0.41,-0.00,-0.00,-0.45,-0.00,0.00,-0.00,-0.00,-1.28,-1.55,-0.42,-0.03,-0.00,-0.05,0.00,-0.00,-0.00,-0.00,1.08,0.00,-0.00,0.00,0.00,7.00,42.28,28.47,7,10,4.16,-2.15,-1.32,0.57,1.32,1.41,1.32,1.32,1.32,1.32,1.32,0.00,0.00,-0.35,0.00,0.00,0.00,0.00,-1.78,-1.75,-0.00,-0.52,0.00,-0.00,0.00,0.00,0.00,0.00,0.93,0.00,0.00,0.00,0.00
18.50,32.47,40.90,0,8,3.53,-0.25,0.55,-0.51,1.12,1.12,1.63,1.12,1.14,1.89,2.01,-0.89,-0.28,-0.20,-0.61,-0.01,-0.48,-0.28,0.28,-0.65,-0.28,-0.48,0.00,-0.68,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.51,-0.00,1.50,33.09,39.53,0,8,4.77,-1.51,1.23,-1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,-1.51,-0.48,-0.48,-0.48,-0.15,-0.48,-0.23,0.52,-0.48,-0.48,-0.48,0.00,-0.59,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00
13.00,36.75,40.65,0,9,1.05,0.33,0.07,0.33,0.14,2.43,0.33,1.80,3.67,0.33,0.72,-0.01,-0.00,-0.04,-0.00,-0.95,-1.12,-0.00,-0.00,0.01,-0.00,-0.00,-0.00,0.00,-0.00,0.00,-0.14,-0.00,-0.00,0.00,-0.00,-0.00,-0.09,12.00,33.93,38.49,0,9,3.58,-0.00,-0.37,0.16,0.03,1.72,1.13,1.13,3.04,-0.11,1.13,-1.07,0.08,-0.34,0.23,-0.34,-0.81,-0.34,-0.34,1.14,-0.34,-0.34,0.00,0.00,0.00,0.00,-0.91,0.00,0.00,0.00,0.00,0.00,-0.38
18.50,41.70,32.69,7,6,2.02,0.64,0.64,-0.35,0.64,0.64,2.94,0.64,0.75,2.00,1.01,-0.00,0.11,-1.33,-0.84,-0.00,-0.00,0.00,-0.00,-1.51,0.00,-0.00,-0.00,1.37,0.00,-0.00,0.00,-0.04,-1.48,0.75,-0.57,-0.00,0.00,8.50,40.59,31.89,8,6,3.25,1.03,1.03,-1.03,1.03,0.76,1.44,1.03,1.03,1.22,1.03,0.00,0.00,-1.28,-0.84,0.00,0.00,0.00,0.00,-1.29,0.00,0.00,0.00,1.14,0.00,0.00,0.00,-0.25,-1.53,1.07,-0.25,0.00,0.00
22.00,47.37,54.55,0,7,2.21,-0.17,-1.00,-0.70,2.47,1.31,3.97,2.46,0.70,0.92,1.01,-0.37,-0.12,-1.22,0.12,-0.12,-0.12,-2.21,0.77,-0.12,-0.50,-0.12,-0.00,0.00,0.00,0.00,-1.01,0.00,0.08,-0.01,-0.00,0.00,0.27,0.00,36.85,43.71,0,11,5.50,-1.74,-1.74,-1.74,1.74,1.74,1.74,1.74,1.74,1.74,1.74,-1.49,-0.47,-0.47,0.47,-0.47,-0.47,-0.47,0.47,-0.47,-0.47,-0.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
25.00,49.25,38.56,0,0,2.98,-0.94,-0.94,0.94,1.25,0.94,-0.23,1.55,0.61,2.02,2.77,-1.22,-0.38,0.16,0.38,-0.63,0.59,-0.38,-1.84,-0.38,-0.36,-0.63,-1.43,0.45,-0.45,-0.45,0.23,-1.02,0.01,0.36,0.85,-0.71,0.29,1.50,55.96,45.44,0,0,4.23,-1.34,-1.34,1.34,1.34,1.34,-1.34,1.34,1.34,1.34,2.12,-1.94,-0.61,0.61,0.61,-0.61,0.61,-0.61,-0.90,-0.61,-0.61,-0.61,-3.45,1.09,-1.09,-1.09,1.09,-1.09,0.80,1.09,1.22,-1.09,1.09
10.50,54.58,45.57,8,11,1.62,0.51,0.51,0.51,1.68,1.24,0.51,0.51,1.46,0.54,0.51,-0.00,-1.53,-0.00,-0.00,-0.00,-0.00,-0.16,-0.00,-0.00,-0.83,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.50,49.15,45.36,8,11,2.48,0.20,0.68,0.78,1.64,1.33,0.10,0.78,1.63,1.34,0.78,0.00,-2.46,0.00,0.00,0.00,0.00,-0.87,0.00,0.00,-1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
